#binned energy for each solid angle. Contains the energy going through the solid angle of the bin
            phi           theta          energy
           -177               2               0
           -177               6               0
           -177              10               0
           -177              14               0
           -177              18               0
           -177              22               0
           -177              26               0
           -177              30               0
           -177              34               0
           -177              38               0
           -177              42               0
           -177              46               0
           -177              50               0
           -177              54               0
           -177              58               0
           -177              62               0
           -177              66               0
           -177              70               0
           -177              74               0
           -177              78               0
           -177              82               0
           -177              86               0
           -177              90               0
           -177              94               0
           -177              98               0
           -177             102               0
           -177             106               0
           -177             110               0
           -177             114               0
           -177             118               0
           -177             122               0
           -177             126               0
           -177             130               0
           -177             134               0
           -177             138               0
           -177             142               0
           -177             146               0
           -177             150               0
           -177             154               0
           -177             158               0
           -177             162               0
           -177             166               0
           -177             170               0
           -177             174               0
           -177             178               0
           -171               2               0
           -171               6               0
           -171              10               0
           -171              14               0
           -171              18               0
           -171              22               0
           -171              26               0
           -171              30               0
           -171              34               0
           -171              38               0
           -171              42               0
           -171              46               0
           -171              50               0
           -171              54               0
           -171              58               0
           -171              62               0
           -171              66               0
           -171              70               0
           -171              74               0
           -171              78               0
           -171              82               0
           -171              86               0
           -171              90               0
           -171              94               0
           -171              98               0
           -171             102               0
           -171             106               0
           -171             110               0
           -171             114               0
           -171             118               0
           -171             122               0
           -171             126               0
           -171             130               0
           -171             134               0
           -171             138               0
           -171             142               0
           -171             146               0
           -171             150               0
           -171             154               0
           -171             158               0
           -171             162               0
           -171             166               0
           -171             170               0
           -171             174               0
           -171             178               0
           -165               2               0
           -165               6               0
           -165              10               0
           -165              14               0
           -165              18               0
           -165              22               0
           -165              26               0
           -165              30               0
           -165              34               0
           -165              38               0
           -165              42               0
           -165              46               0
           -165              50               0
           -165              54               0
           -165              58               0
           -165              62               0
           -165              66               0
           -165              70               0
           -165              74               0
           -165              78               0
           -165              82               0
           -165              86               0
           -165              90               0
           -165              94         22.8576
           -165              98               0
           -165             102               0
           -165             106               0
           -165             110               0
           -165             114               0
           -165             118               0
           -165             122               0
           -165             126               0
           -165             130               0
           -165             134               0
           -165             138               0
           -165             142               0
           -165             146               0
           -165             150               0
           -165             154               0
           -165             158               0
           -165             162               0
           -165             166               0
           -165             170               0
           -165             174               0
           -165             178               0
           -159               2               0
           -159               6               0
           -159              10               0
           -159              14               0
           -159              18               0
           -159              22               0
           -159              26               0
           -159              30               0
           -159              34               0
           -159              38               0
           -159              42               0
           -159              46               0
           -159              50               0
           -159              54               0
           -159              58               0
           -159              62               0
           -159              66               0
           -159              70               0
           -159              74               0
           -159              78               0
           -159              82               0
           -159              86               0
           -159              90               0
           -159              94               0
           -159              98               0
           -159             102               0
           -159             106               0
           -159             110               0
           -159             114               0
           -159             118               0
           -159             122               0
           -159             126               0
           -159             130               0
           -159             134               0
           -159             138               0
           -159             142               0
           -159             146               0
           -159             150               0
           -159             154               0
           -159             158               0
           -159             162               0
           -159             166               0
           -159             170               0
           -159             174               0
           -159             178               0
           -153               2               0
           -153               6               0
           -153              10               0
           -153              14               0
           -153              18               0
           -153              22               0
           -153              26               0
           -153              30               0
           -153              34               0
           -153              38               0
           -153              42               0
           -153              46               0
           -153              50               0
           -153              54               0
           -153              58               0
           -153              62               0
           -153              66               0
           -153              70               0
           -153              74               0
           -153              78               0
           -153              82               0
           -153              86               0
           -153              90               0
           -153              94               0
           -153              98               0
           -153             102               0
           -153             106               0
           -153             110               0
           -153             114               0
           -153             118               0
           -153             122               0
           -153             126               0
           -153             130               0
           -153             134               0
           -153             138               0
           -153             142               0
           -153             146               0
           -153             150               0
           -153             154               0
           -153             158               0
           -153             162               0
           -153             166               0
           -153             170               0
           -153             174               0
           -153             178               0
           -147               2               0
           -147               6               0
           -147              10               0
           -147              14               0
           -147              18               0
           -147              22               0
           -147              26               0
           -147              30               0
           -147              34               0
           -147              38               0
           -147              42               0
           -147              46               0
           -147              50               0
           -147              54               0
           -147              58               0
           -147              62               0
           -147              66               0
           -147              70               0
           -147              74               0
           -147              78               0
           -147              82               0
           -147              86               0
           -147              90               0
           -147              94               0
           -147              98               0
           -147             102               0
           -147             106               0
           -147             110               0
           -147             114               0
           -147             118               0
           -147             122               0
           -147             126               0
           -147             130               0
           -147             134               0
           -147             138               0
           -147             142               0
           -147             146               0
           -147             150               0
           -147             154               0
           -147             158               0
           -147             162               0
           -147             166               0
           -147             170               0
           -147             174               0
           -147             178               0
           -141               2               0
           -141               6               0
           -141              10               0
           -141              14               0
           -141              18               0
           -141              22               0
           -141              26               0
           -141              30               0
           -141              34               0
           -141              38               0
           -141              42               0
           -141              46               0
           -141              50               0
           -141              54               0
           -141              58               0
           -141              62               0
           -141              66               0
           -141              70               0
           -141              74               0
           -141              78               0
           -141              82               0
           -141              86               0
           -141              90               0
           -141              94               0
           -141              98               0
           -141             102               0
           -141             106               0
           -141             110               0
           -141             114               0
           -141             118               0
           -141             122               0
           -141             126               0
           -141             130               0
           -141             134               0
           -141             138               0
           -141             142               0
           -141             146               0
           -141             150               0
           -141             154               0
           -141             158               0
           -141             162               0
           -141             166               0
           -141             170               0
           -141             174               0
           -141             178               0
           -135               2               0
           -135               6               0
           -135              10               0
           -135              14               0
           -135              18               0
           -135              22               0
           -135              26               0
           -135              30               0
           -135              34               0
           -135              38               0
           -135              42               0
           -135              46               0
           -135              50               0
           -135              54               0
           -135              58               0
           -135              62               0
           -135              66               0
           -135              70               0
           -135              74               0
           -135              78               0
           -135              82               0
           -135              86               0
           -135              90               0
           -135              94               0
           -135              98               0
           -135             102               0
           -135             106               0
           -135             110               0
           -135             114               0
           -135             118               0
           -135             122               0
           -135             126               0
           -135             130               0
           -135             134               0
           -135             138               0
           -135             142               0
           -135             146               0
           -135             150               0
           -135             154               0
           -135             158               0
           -135             162               0
           -135             166               0
           -135             170               0
           -135             174               0
           -135             178               0
           -129               2               0
           -129               6               0
           -129              10               0
           -129              14               0
           -129              18               0
           -129              22               0
           -129              26               0
           -129              30               0
           -129              34               0
           -129              38               0
           -129              42               0
           -129              46               0
           -129              50               0
           -129              54               0
           -129              58               0
           -129              62               0
           -129              66               0
           -129              70               0
           -129              74               0
           -129              78               0
           -129              82               0
           -129              86               0
           -129              90               0
           -129              94               0
           -129              98               0
           -129             102               0
           -129             106               0
           -129             110               0
           -129             114               0
           -129             118               0
           -129             122               0
           -129             126               0
           -129             130               0
           -129             134               0
           -129             138               0
           -129             142               0
           -129             146               0
           -129             150               0
           -129             154               0
           -129             158               0
           -129             162               0
           -129             166               0
           -129             170               0
           -129             174               0
           -129             178               0
           -123               2               0
           -123               6               0
           -123              10               0
           -123              14               0
           -123              18               0
           -123              22               0
           -123              26               0
           -123              30               0
           -123              34               0
           -123              38               0
           -123              42               0
           -123              46               0
           -123              50               0
           -123              54               0
           -123              58               0
           -123              62               0
           -123              66               0
           -123              70               0
           -123              74               0
           -123              78               0
           -123              82               0
           -123              86               0
           -123              90               0
           -123              94               0
           -123              98               0
           -123             102               0
           -123             106               0
           -123             110               0
           -123             114               0
           -123             118               0
           -123             122               0
           -123             126               0
           -123             130               0
           -123             134               0
           -123             138               0
           -123             142               0
           -123             146               0
           -123             150               0
           -123             154               0
           -123             158               0
           -123             162               0
           -123             166               0
           -123             170               0
           -123             174               0
           -123             178               0
           -117               2               0
           -117               6               0
           -117              10               0
           -117              14               0
           -117              18               0
           -117              22               0
           -117              26               0
           -117              30               0
           -117              34               0
           -117              38               0
           -117              42               0
           -117              46               0
           -117              50               0
           -117              54               0
           -117              58               0
           -117              62               0
           -117              66               0
           -117              70               0
           -117              74               0
           -117              78               0
           -117              82               0
           -117              86               0
           -117              90               0
           -117              94               0
           -117              98               0
           -117             102               0
           -117             106               0
           -117             110               0
           -117             114               0
           -117             118               0
           -117             122               0
           -117             126               0
           -117             130               0
           -117             134               0
           -117             138               0
           -117             142               0
           -117             146               0
           -117             150               0
           -117             154               0
           -117             158               0
           -117             162               0
           -117             166               0
